,source_pid,des_pid,time,relationship,source,destination
1157,10448,10448,2023-09-27 01:43:10.339,load,E:\Software\Microsoft Visual Studio\VC\Tools\MSVC\14.37.32822\bin\Hostx86\x86\vctip.exe,C:\Windows\assembly\NativeImages_v4.0.30319_32\System.Xml.Linq\981caab7456083363d96be0f6446c2ad\System.Xml.Linq.ni.dll
1158,2388,2388,2023-09-27 01:43:10.787,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE
1159,2388,2388,2023-09-27 01:43:10.787,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft
1160,2388,2388,2023-09-27 01:43:10.787,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows
1161,2388,2388,2023-09-27 01:43:10.787,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion
1162,2388,2388,2023-09-27 01:43:10.787,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\MMDevices
1163,2388,2388,2023-09-27 01:43:10.787,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\MMDevices\Audio
1164,2388,2388,2023-09-27 01:43:10.787,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\MMDevices\Audio\RemoteRender
1165,2388,2388,2023-09-27 01:43:10.787,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\MMDevices\Audio\RemoteRender\{6C26BA7D-F0B2-4225-B422-8168C5261E45}
1166,3536,3536,2023-09-27 01:43:11.005,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKLM\SOFTWARE\Microsoft\Windows Defender\Reporting\SigUpdateTimestampsSinceLastHB
1167,3536,3536,2023-09-27 01:43:11.011,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKLM\SOFTWARE\Microsoft\Windows Defender\Reporting\SigUpdateTimestampsSinceLastHB
1168,3536,3536,2023-09-27 01:43:11.015,reg_create_del,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender
1169,3536,3536,2023-09-27 01:43:11.015,reg_create_del,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender
1170,3536,3536,2023-09-27 01:43:11.233,reg_create_del,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender
1171,3536,3536,2023-09-27 01:43:11.233,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender\CachedProxyAccessType 
1172,3536,3536,2023-09-27 01:43:11.233,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender\CachedProxy
1173,3536,3536,2023-09-27 01:43:11.233,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender\CachedProxyBypass
1174,3536,3536,2023-09-27 01:43:11.233,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKLM\SOFTWARE\Microsoft\Windows Defender\Spynet\LastMAPSSuccessTime
1175,3536,3536,2023-09-27 01:43:11.233,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKLM\SOFTWARE\Microsoft\Windows Defender\Reporting\SigUpdateTimestampsSinceLastHB
1176,3536,3536,2023-09-27 01:43:11.240,reg_create_del,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender
1177,3536,3536,2023-09-27 01:43:11.240,reg_create_del,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender
1178,3536,3536,2023-09-27 01:43:11.291,reg_create_del,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender
1179,3536,3536,2023-09-27 01:43:11.291,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender\CachedProxyAccessType 
1180,3536,3536,2023-09-27 01:43:11.291,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender\CachedProxy
1181,3536,3536,2023-09-27 01:43:11.291,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender\CachedProxyBypass
1182,3536,3536,2023-09-27 01:43:11.291,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKLM\SOFTWARE\Microsoft\Windows Defender\Spynet\LastMAPSSuccessTime
1183,9304,9304,2023-09-27 01:43:11.378,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Security Center\Provider\Av\{D68DDC3A-831F-4fae-9E44-DA132C1ACF46}
1184,9304,9304,2023-09-27 01:43:11.378,reg_set_value,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Security Center\Provider\Av\{D68DDC3A-831F-4fae-9E44-DA132C1ACF46}\STATE
1185,9304,9304,2023-09-27 01:43:11.379,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1186,9304,9304,2023-09-27 01:43:11.379,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1187,9304,9304,2023-09-27 01:43:11.379,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1188,9304,9304,2023-09-27 01:43:11.379,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1189,9304,9304,2023-09-27 01:43:11.379,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1190,9304,9304,2023-09-27 01:43:11.379,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1191,9304,9304,2023-09-27 01:43:11.381,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1192,9304,9304,2023-09-27 01:43:11.381,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
