,source_pid,des_pid,time,relationship,source,destination
126,4832,4832,2023-09-27 07:33:49.545,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\combase.dll
127,4832,4832,2023-09-27 07:33:49.545,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\rpcrt4.dll
128,4832,4832,2023-09-27 07:33:49.545,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\kernel.appcore.dll
129,4832,4832,2023-09-27 07:33:49.561,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\msvcrt.dll
130,4832,4832,2023-09-27 07:33:49.561,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\bcryptprimitives.dll
131,4832,4832,2023-09-27 07:33:49.561,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\clbcatq.dll
132,4832,4832,2023-09-27 07:33:49.561,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\sechost.dll
133,4832,4832,2023-09-27 07:33:49.561,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\user32.dll
134,4832,4832,2023-09-27 07:33:49.561,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\win32u.dll
135,4832,4832,2023-09-27 07:33:49.576,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\gdi32.dll
136,4832,4832,2023-09-27 07:33:49.576,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\gdi32full.dll
137,4832,4832,2023-09-27 07:33:49.576,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\msvcp_win.dll
138,4832,4832,2023-09-27 07:33:49.576,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\imm32.dll
139,984,4832,2023-09-27 07:33:49.576,access,C:\Windows\system32\svchost.exe,C:\Windows\SysWOW64\DllHost.exe
140,4832,4832,2023-09-27 07:33:49.592,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\uxtheme.dll
141,1828,4832,2023-09-27 07:33:49.592,access,C:\Windows\System32\svchost.exe,C:\Windows\SysWOW64\DllHost.exe
142,4832,4832,2023-09-27 07:33:49.592,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\Windows.StateRepositoryCore.dll
143,4832,4832,2023-09-27 07:33:49.592,load,C:\Windows\SysWOW64\dllhost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.104.3207.0_x64__kzf8qxf38zg5c\Skype\SkypeContext.dll
144,4832,4832,2023-09-27 07:33:49.592,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\ole32.dll
145,4832,4832,2023-09-27 07:33:49.592,load,C:\Windows\SysWOW64\dllhost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.104.3207.0_x64__kzf8qxf38zg5c\Skype\vccorlib140.dll
146,4832,4832,2023-09-27 07:33:49.592,load,C:\Windows\SysWOW64\dllhost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.104.3207.0_x64__kzf8qxf38zg5c\Skype\msvcp140.dll
147,4832,4832,2023-09-27 07:33:49.592,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\vccorlib140.dll
148,4832,4832,2023-09-27 07:33:49.592,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\shlwapi.dll
149,4832,4832,2023-09-27 07:33:49.592,load,C:\Windows\SysWOW64\dllhost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.104.3207.0_x64__kzf8qxf38zg5c\Skype\msvcp140.dll
150,4832,4832,2023-09-27 07:33:49.592,load,C:\Windows\SysWOW64\dllhost.exe,C:\Windows\SysWOW64\msvcp140.dll
